PeriodEnd,PeriodStart,Period,AirTemp,Azimuth,CloudOpacity,Dhi,Dni,Ebh,Ghi,RelativeHumidity,WindSpeed10m,Zenith
2020-07-08T21:00:00Z,2020-07-08T20:00:00Z,PT60M,10.7,51,0.0,39,565,130,170,69.6,1.8,77
2020-07-08T22:00:00Z,2020-07-08T21:00:00Z,PT60M,9.0,61,2.2,14,157,17,31,77.8,1.4,87
2020-07-08T23:00:00Z,2020-07-08T22:00:00Z,PT60M,7.5,69,0.9,0,0,0,0,82.6,0.8,99
2020-07-09T00:00:00Z,2020-07-08T23:00:00Z,PT60M,6.9,76,4.4,0,0,0,0,84.5,0.5,111
2020-07-09T01:00:00Z,2020-07-09T00:00:00Z,PT60M,6.7,83,9.6,0,0,0,0,85.6,0.6,123
2020-07-09T02:00:00Z,2020-07-09T01:00:00Z,PT60M,6.7,91,4.9,0,0,0,0,85.6,0.3,135
2020-07-09T03:00:00Z,2020-07-09T02:00:00Z,PT60M,6.7,101,22.2,0,0,0,0,84.6,0.3,148
2020-07-09T04:00:00Z,2020-07-09T03:00:00Z,PT60M,6.5,118,58.4,0,0,0,0,83.5,0.5,160
2020-07-09T05:00:00Z,2020-07-09T04:00:00Z,PT60M,6.4,161,46.1,0,0,0,0,82.6,0.6,168
2020-07-09T06:00:00Z,2020-07-09T05:00:00Z,PT60M,6.8,-139,60.1,0,0,0,0,81.0,0.3,165
2020-07-09T07:00:00Z,2020-07-09T06:00:00Z,PT60M,7.1,-110,57.0,0,0,0,0,78.2,0.4,155
2020-07-09T08:00:00Z,2020-07-09T07:00:00Z,PT60M,7.1,-97,53.7,0,0,0,0,75.8,0.3,143
2020-07-09T09:00:00Z,2020-07-09T08:00:00Z,PT60M,7.0,-88,58.7,0,0,0,0,75.2,0.3,130
2020-07-09T10:00:00Z,2020-07-09T09:00:00Z,PT60M,6.6,-80,44.1,0,0,0,0,75.3,0.2,118
2020-07-09T11:00:00Z,2020-07-09T10:00:00Z,PT60M,6.3,-73,58.1,0,0,0,0,75.9,0.3,106
2020-07-09T12:00:00Z,2020-07-09T11:00:00Z,PT60M,6.4,-66,37.4,1,0,0,1,76.5,0.7,94
2020-07-09T13:00:00Z,2020-07-09T12:00:00Z,PT60M,7.5,-57,34.0,51,8,1,52,74.3,0.7,83
2020-07-09T14:00:00Z,2020-07-09T13:00:00Z,PT60M,9.4,-47,13.2,97,372,110,208,65.4,0.5,73
2020-07-09T15:00:00Z,2020-07-09T14:00:00Z,PT60M,10.9,-35,5.3,96,623,264,360,56.0,0.4,65
2020-07-09T16:00:00Z,2020-07-09T15:00:00Z,PT60M,11.9,-21,12.5,169,489,255,424,51.8,1.0,59
2020-07-09T17:00:00Z,2020-07-09T16:00:00Z,PT60M,12.7,-5,1.1,74,810,453,526,50.1,1.2,56
2020-07-09T18:00:00Z,2020-07-09T17:00:00Z,PT60M,13.3,12,1.8,80,783,431,511,49.0,0.9,57
2020-07-09T19:00:00Z,2020-07-09T18:00:00Z,PT60M,13.8,27,6.4,116,626,303,419,47.2,0.5,61
2020-07-09T20:00:00Z,2020-07-09T19:00:00Z,PT60M,14.0,40,4.7,80,615,234,314,46.4,0.7,68
2020-07-09T21:00:00Z,2020-07-09T20:00:00Z,PT60M,13.3,51,2.0,46,548,127,173,53.2,0.9,77
2020-07-09T22:00:00Z,2020-07-09T21:00:00Z,PT60M,10.9,61,9.8,16,142,15,31,61.3,0.6,87
2020-07-09T23:00:00Z,2020-07-09T22:00:00Z,PT60M,9.0,69,27.1,0,0,0,0,62.7,0.4,99
2020-07-10T00:00:00Z,2020-07-09T23:00:00Z,PT60M,8.4,76,40.2,0,0,0,0,62.2,0.7,110
2020-07-10T01:00:00Z,2020-07-10T00:00:00Z,PT60M,8.1,83,23.1,0,0,0,0,60.9,0.2,123
2020-07-10T02:00:00Z,2020-07-10T01:00:00Z,PT60M,7.9,91,35.5,0,0,0,0,60.2,0.2,135
2020-07-10T03:00:00Z,2020-07-10T02:00:00Z,PT60M,7.7,101,64.7,0,0,0,0,60.2,0.4,148
2020-07-10T04:00:00Z,2020-07-10T03:00:00Z,PT60M,7.7,118,72.3,0,0,0,0,61.7,0.7,159
2020-07-10T05:00:00Z,2020-07-10T04:00:00Z,PT60M,8.0,161,78.8,0,0,0,0,61.9,0.7,168
2020-07-10T06:00:00Z,2020-07-10T05:00:00Z,PT60M,8.1,-139,78.6,0,0,0,0,61.0,0.8,165
2020-07-10T07:00:00Z,2020-07-10T06:00:00Z,PT60M,8.0,-110,83.4,0,0,0,0,59.5,0.6,155
2020-07-10T08:00:00Z,2020-07-10T07:00:00Z,PT60M,7.7,-97,78.8,0,0,0,0,58.0,0.1,143
2020-07-10T09:00:00Z,2020-07-10T08:00:00Z,PT60M,7.3,-88,81.3,0,0,0,0,60.1,0.6,130
2020-07-10T10:00:00Z,2020-07-10T09:00:00Z,PT60M,7.3,-80,74.5,0,0,0,0,63.4,0.4,118
2020-07-10T11:00:00Z,2020-07-10T10:00:00Z,PT60M,7.2,-73,70.5,0,0,0,0,66.2,0.4,106
2020-07-10T12:00:00Z,2020-07-10T11:00:00Z,PT60M,7.1,-66,29.5,1,2,0,1,65.5,0.1,94
2020-07-10T13:00:00Z,2020-07-10T12:00:00Z,PT60M,8.2,-57,30.3,55,10,1,56,66.4,0.4,83
2020-07-10T14:00:00Z,2020-07-10T13:00:00Z,PT60M,10.1,-47,40.0,141,6,1,142,64.3,0.4,73
2020-07-10T15:00:00Z,2020-07-10T14:00:00Z,PT60M,11.4,-35,43.9,210,2,1,211,58.8,0.9,65
2020-07-10T16:00:00Z,2020-07-10T15:00:00Z,PT60M,12.3,-21,30.4,214,231,124,338,56.3,1.0,59
2020-07-10T17:00:00Z,2020-07-10T16:00:00Z,PT60M,13.3,-5,27.9,289,163,91,380,54.6,1.2,56
2020-07-10T18:00:00Z,2020-07-10T17:00:00Z,PT60M,13.8,12,8.8,147,584,321,468,55.7,1.3,57
2020-07-10T19:00:00Z,2020-07-10T18:00:00Z,PT60M,13.7,27,24.9,221,225,114,334,59.6,2.0,61
2020-07-10T20:00:00Z,2020-07-10T19:00:00Z,PT60M,13.3,40,28.6,188,114,42,230,64.0,2.1,68
2020-07-10T21:00:00Z,2020-07-10T20:00:00Z,PT60M,12.4,52,16.5,89,245,54,142,69.8,1.4,77
2020-07-10T22:00:00Z,2020-07-10T21:00:00Z,PT60M,11.2,61,26.7,18,96,11,29,76.8,1.0,87
2020-07-10T23:00:00Z,2020-07-10T22:00:00Z,PT60M,10.3,69,29.3,0,0,0,0,80.7,0.7,98
2020-07-11T00:00:00Z,2020-07-10T23:00:00Z,PT60M,9.7,76,37.5,0,0,0,0,83.1,0.5,110
2020-07-11T01:00:00Z,2020-07-11T00:00:00Z,PT60M,9.3,83,25.7,0,0,0,0,84.6,0.7,123
2020-07-11T02:00:00Z,2020-07-11T01:00:00Z,PT60M,8.7,91,23.0,0,0,0,0,85.6,0.5,135
2020-07-11T03:00:00Z,2020-07-11T02:00:00Z,PT60M,8.2,101,8.9,0,0,0,0,85.6,0.4,148
2020-07-11T04:00:00Z,2020-07-11T03:00:00Z,PT60M,7.9,119,3.0,0,0,0,0,84.5,0.6,159
2020-07-11T05:00:00Z,2020-07-11T04:00:00Z,PT60M,7.5,161,4.7,0,0,0,0,83.7,0.3,168
2020-07-11T06:00:00Z,2020-07-11T05:00:00Z,PT60M,7.3,-140,21.8,0,0,0,0,84.3,0.4,165
2020-07-11T07:00:00Z,2020-07-11T06:00:00Z,PT60M,6.9,-110,38.8,0,0,0,0,86.8,0.7,155
2020-07-11T08:00:00Z,2020-07-11T07:00:00Z,PT60M,6.7,-97,16.1,0,0,0,0,87.9,0.3,143
2020-07-11T09:00:00Z,2020-07-11T08:00:00Z,PT60M,6.8,-88,40.4,0,0,0,0,86.3,0.6,130
2020-07-11T10:00:00Z,2020-07-11T09:00:00Z,PT60M,6.9,-81,65.7,0,0,0,0,83.7,0.7,118
2020-07-11T11:00:00Z,2020-07-11T10:00:00Z,PT60M,7.0,-73,76.3,0,0,0,0,81.8,0.1,106
2020-07-11T12:00:00Z,2020-07-11T11:00:00Z,PT60M,7.3,-66,53.8,1,0,0,1,82.7,0.4,94
2020-07-11T13:00:00Z,2020-07-11T12:00:00Z,PT60M,8.4,-57,17.2,32,230,40,72,82.5,0.3,83
2020-07-11T14:00:00Z,2020-07-11T13:00:00Z,PT60M,10.0,-47,8.9,83,439,132,215,75.0,0.3,73
2020-07-11T15:00:00Z,2020-07-11T14:00:00Z,PT60M,11.5,-36,0.0,57,745,320,377,66.7,0.5,65
2020-07-11T16:00:00Z,2020-07-11T15:00:00Z,PT60M,12.6,-21,0.0,65,790,411,476,63.1,0.6,59
2020-07-11T17:00:00Z,2020-07-11T16:00:00Z,PT60M,13.2,-5,1.3,82,770,433,516,62.8,1.2,56
2020-07-11T18:00:00Z,2020-07-11T17:00:00Z,PT60M,13.3,12,13.6,197,439,244,441,64.6,1.8,56
2020-07-11T19:00:00Z,2020-07-11T18:00:00Z,PT60M,13.2,27,20.7,221,261,128,349,67.8,2.2,61
2020-07-11T20:00:00Z,2020-07-11T19:00:00Z,PT60M,12.9,40,18.2,160,269,100,261,70.2,1.8,68
2020-07-11T21:00:00Z,2020-07-11T20:00:00Z,PT60M,12.3,52,7.9,70,369,88,157,74.8,1.3,77
2020-07-11T22:00:00Z,2020-07-11T21:00:00Z,PT60M,10.9,61,22.3,20,73,9,28,82.0,0.9,87
2020-07-11T23:00:00Z,2020-07-11T22:00:00Z,PT60M,9.8,69,38.6,0,0,0,0,85.9,0.5,98
2020-07-12T00:00:00Z,2020-07-11T23:00:00Z,PT60M,9.3,76,45.8,0,0,0,0,88.0,0.9,110
2020-07-12T01:00:00Z,2020-07-12T00:00:00Z,PT60M,9.0,83,58.3,0,0,0,0,90.1,0.7,123
2020-07-12T02:00:00Z,2020-07-12T01:00:00Z,PT60M,8.9,91,49.9,0,0,0,0,89.9,0.5,135
2020-07-12T03:00:00Z,2020-07-12T02:00:00Z,PT60M,8.8,102,55.9,0,0,0,0,88.8,0.5,148
2020-07-12T04:00:00Z,2020-07-12T03:00:00Z,PT60M,8.8,119,67.4,0,0,0,0,87.6,0.4,159
2020-07-12T05:00:00Z,2020-07-12T04:00:00Z,PT60M,8.7,161,69.4,0,0,0,0,87.2,0.4,168
2020-07-12T06:00:00Z,2020-07-12T05:00:00Z,PT60M,8.4,-140,66.4,0,0,0,0,86.5,0.3,165
2020-07-12T07:00:00Z,2020-07-12T06:00:00Z,PT60M,8.1,-111,44.2,0,0,0,0,85.0,0.3,155
2020-07-12T08:00:00Z,2020-07-12T07:00:00Z,PT60M,7.9,-97,38.8,0,0,0,0,84.5,0.8,143
2020-07-12T09:00:00Z,2020-07-12T08:00:00Z,PT60M,7.7,-88,49.9,0,0,0,0,84.7,0.8,130
2020-07-12T10:00:00Z,2020-07-12T09:00:00Z,PT60M,7.7,-81,47.3,0,0,0,0,83.7,0.6,118
2020-07-12T11:00:00Z,2020-07-12T10:00:00Z,PT60M,7.7,-74,37.3,0,0,0,0,81.3,0.5,106
2020-07-12T12:00:00Z,2020-07-12T11:00:00Z,PT60M,7.7,-66,32.5,1,1,0,1,79.1,0.7,94
2020-07-12T13:00:00Z,2020-07-12T12:00:00Z,PT60M,8.9,-58,20.5,49,120,19,68,76.9,0.4,83
2020-07-12T14:00:00Z,2020-07-12T13:00:00Z,PT60M,10.8,-48,22.9,132,183,53,185,69.8,0.7,73
2020-07-12T15:00:00Z,2020-07-12T14:00:00Z,PT60M,12.3,-36,13.7,139,440,195,335,61.4,0.8,65
2020-07-12T16:00:00Z,2020-07-12T15:00:00Z,PT60M,13.5,-21,1.8,76,767,401,477,56.0,0.7,59
2020-07-12T17:00:00Z,2020-07-12T16:00:00Z,PT60M,14.5,-5,5.0,116,693,391,507,51.9,0.8,56
2020-07-12T18:00:00Z,2020-07-12T17:00:00Z,PT60M,15.4,12,3.8,101,722,401,502,48.6,1.0,56
2020-07-12T19:00:00Z,2020-07-12T18:00:00Z,PT60M,15.8,27,6.2,112,631,313,425,47.4,1.1,60
2020-07-12T20:00:00Z,2020-07-12T19:00:00Z,PT60M,15.6,41,11.8,123,444,171,294,49.5,1.3,67
2020-07-12T21:00:00Z,2020-07-12T20:00:00Z,PT60M,14.6,52,9.7,70,390,93,163,55.6,1.1,76
2020-07-12T22:00:00Z,2020-07-12T21:00:00Z,PT60M,12.4,61,5.0,17,151,17,34,61.7,0.9,87
2020-07-12T23:00:00Z,2020-07-12T22:00:00Z,PT60M,10.9,69,24.9,0,0,0,0,63.0,0.8,98
2020-07-13T00:00:00Z,2020-07-12T23:00:00Z,PT60M,10.6,76,39.5,0,0,0,0,61.7,0.6,110
2020-07-13T01:00:00Z,2020-07-13T00:00:00Z,PT60M,10.5,84,42.8,0,0,0,0,59.6,0.6,123
2020-07-13T02:00:00Z,2020-07-13T01:00:00Z,PT60M,10.4,91,44.5,0,0,0,0,57.4,0.7,135
2020-07-13T03:00:00Z,2020-07-13T02:00:00Z,PT60M,10.0,102,27.1,0,0,0,0,56.9,0.4,147
2020-07-13T04:00:00Z,2020-07-13T03:00:00Z,PT60M,9.6,119,6.1,0,0,0,0,58.0,0.6,159
2020-07-13T05:00:00Z,2020-07-13T04:00:00Z,PT60M,9.4,161,0.3,0,0,0,0,59.3,0.8,167
2020-07-13T06:00:00Z,2020-07-13T05:00:00Z,PT60M,9.3,-140,4.7,0,0,0,0,60.1,0.7,165
2020-07-13T07:00:00Z,2020-07-13T06:00:00Z,PT60M,9.2,-111,13.5,0,0,0,0,59.5,0.8,155
2020-07-13T08:00:00Z,2020-07-13T07:00:00Z,PT60M,9.0,-97,18.2,0,0,0,0,59.4,0.7,143
2020-07-13T09:00:00Z,2020-07-13T08:00:00Z,PT60M,8.9,-88,7.1,0,0,0,0,60.2,0.8,130
2020-07-13T10:00:00Z,2020-07-13T09:00:00Z,PT60M,8.7,-81,9.8,0,0,0,0,61.4,0.9,118
2020-07-13T11:00:00Z,2020-07-13T10:00:00Z,PT60M,8.5,-74,2.3,0,0,0,0,61.9,0.9,106
2020-07-13T12:00:00Z,2020-07-13T11:00:00Z,PT60M,8.6,-66,0.1,1,10,1,2,57.7,1.0,94
2020-07-13T13:00:00Z,2020-07-13T12:00:00Z,PT60M,10.2,-58,0.8,24,441,64,88,54.6,1.0,83
2020-07-13T14:00:00Z,2020-07-13T13:00:00Z,PT60M,13.3,-48,0.0,38,704,210,248,48.8,1.0,73
2020-07-13T15:00:00Z,2020-07-13T14:00:00Z,PT60M,15.7,-36,0.0,47,803,347,394,41.3,1.1,64
2020-07-13T16:00:00Z,2020-07-13T15:00:00Z,PT60M,17.4,-21,0.0,51,853,447,498,36.9,0.9,58
2020-07-13T17:00:00Z,2020-07-13T16:00:00Z,PT60M,18.8,-5,0.0,54,871,494,547,33.5,0.5,55
2020-07-13T18:00:00Z,2020-07-13T17:00:00Z,PT60M,19.5,12,0.0,54,867,482,536,32.5,0.9,56
2020-07-13T19:00:00Z,2020-07-13T18:00:00Z,PT60M,19.6,27,0.0,51,838,415,466,33.0,1.3,60
2020-07-13T20:00:00Z,2020-07-13T19:00:00Z,PT60M,19.5,41,0.0,45,775,299,344,35.5,1.0,67
2020-07-13T21:00:00Z,2020-07-13T20:00:00Z,PT60M,18.1,52,0.0,34,647,155,189,42.9,0.5,76
2020-07-13T22:00:00Z,2020-07-13T21:00:00Z,PT60M,15.1,61,0.0,12,247,27,39,46.7,0.5,87
2020-07-13T23:00:00Z,2020-07-13T22:00:00Z,PT60M,12.9,69,3.5,0,0,0,0,42.8,0.7,98
2020-07-14T00:00:00Z,2020-07-13T23:00:00Z,PT60M,12.4,77,13.0,0,0,0,0,39.9,0.7,110
2020-07-14T01:00:00Z,2020-07-14T00:00:00Z,PT60M,12.1,84,0.4,0,0,0,0,38.3,0.8,122
2020-07-14T02:00:00Z,2020-07-14T01:00:00Z,PT60M,11.8,92,0.0,0,0,0,0,38.1,0.9,135
2020-07-14T03:00:00Z,2020-07-14T02:00:00Z,PT60M,11.5,102,0.0,0,0,0,0,39.6,0.8,147
2020-07-14T04:00:00Z,2020-07-14T03:00:00Z,PT60M,11.2,119,0.0,0,0,0,0,41.3,0.9,159
2020-07-14T05:00:00Z,2020-07-14T04:00:00Z,PT60M,10.9,161,2.2,0,0,0,0,42.9,1.0,167
2020-07-14T06:00:00Z,2020-07-14T05:00:00Z,PT60M,10.6,-141,21.0,0,0,0,0,44.0,1.0,165
2020-07-14T07:00:00Z,2020-07-14T06:00:00Z,PT60M,10.3,-111,14.2,0,0,0,0,42.9,1.1,155
2020-07-14T08:00:00Z,2020-07-14T07:00:00Z,PT60M,10.1,-98,1.8,0,0,0,0,40.7,1.1,143
2020-07-14T09:00:00Z,2020-07-14T08:00:00Z,PT60M,9.8,-89,9.6,0,0,0,0,38.5,1.0,130
2020-07-14T10:00:00Z,2020-07-14T09:00:00Z,PT60M,9.4,-81,10.9,0,0,0,0,37.1,1.0,118
2020-07-14T11:00:00Z,2020-07-14T10:00:00Z,PT60M,9.2,-74,7.6,0,0,0,0,35.4,1.1,105
2020-07-14T12:00:00Z,2020-07-14T11:00:00Z,PT60M,9.2,-66,3.7,1,13,1,2,32.9,0.9,94
2020-07-14T13:00:00Z,2020-07-14T12:00:00Z,PT60M,10.9,-58,0.0,21,518,76,96,34.3,1.0,83
2020-07-14T14:00:00Z,2020-07-14T13:00:00Z,PT60M,14.2,-48,0.0,35,761,228,264,33.3,1.1,73
2020-07-14T15:00:00Z,2020-07-14T14:00:00Z,PT60M,16.9,-36,0.0,43,854,371,414,28.0,0.9,64
2020-07-14T16:00:00Z,2020-07-14T15:00:00Z,PT60M,18.4,-22,0.0,49,895,471,519,24.3,0.8,58
2020-07-14T17:00:00Z,2020-07-14T16:00:00Z,PT60M,19.7,-5,0.0,51,911,518,569,22.2,0.7,55
2020-07-14T18:00:00Z,2020-07-14T17:00:00Z,PT60M,20.3,12,0.0,51,905,506,556,21.2,0.5,56
2020-07-14T19:00:00Z,2020-07-14T18:00:00Z,PT60M,20.7,27,0.0,49,873,434,484,21.4,0.2,60
2020-07-14T20:00:00Z,2020-07-14T19:00:00Z,PT60M,20.6,41,0.0,44,806,313,358,25.7,0.3,67
2020-07-14T21:00:00Z,2020-07-14T20:00:00Z,PT60M,18.9,52,0.0,34,675,163,197,35.1,0.4,76
2020-07-14T22:00:00Z,2020-07-14T21:00:00Z,PT60M,15.2,61,0.0,13,262,29,42,39.1,0.3,87
2020-07-14T23:00:00Z,2020-07-14T22:00:00Z,PT60M,12.8,69,7.2,0,0,0,0,37.0,0.3,98
2020-07-15T00:00:00Z,2020-07-14T23:00:00Z,PT60M,12.2,77,7.7,0,0,0,0,36.5,0.6,110
2020-07-15T01:00:00Z,2020-07-15T00:00:00Z,PT60M,11.7,84,0.2,0,0,0,0,36.5,0.6,122
2020-07-15T02:00:00Z,2020-07-15T01:00:00Z,PT60M,11.3,92,0.0,0,0,0,0,36.0,0.6,135
2020-07-15T03:00:00Z,2020-07-15T02:00:00Z,PT60M,10.9,102,0.9,0,0,0,0,35.2,0.6,147
2020-07-15T04:00:00Z,2020-07-15T03:00:00Z,PT60M,10.6,120,0.5,0,0,0,0,34.4,0.7,159
2020-07-15T05:00:00Z,2020-07-15T04:00:00Z,PT60M,10.3,161,6.3,0,0,0,0,33.8,0.6,167
2020-07-15T06:00:00Z,2020-07-15T05:00:00Z,PT60M,10.1,-141,12.4,0,0,0,0,34.0,0.8,165
2020-07-15T07:00:00Z,2020-07-15T06:00:00Z,PT60M,9.8,-112,9.1,0,0,0,0,35.3,0.8,155
2020-07-15T08:00:00Z,2020-07-15T07:00:00Z,PT60M,9.3,-98,11.1,0,0,0,0,37.2,0.4,143
2020-07-15T09:00:00Z,2020-07-15T08:00:00Z,PT60M,8.9,-89,13.8,0,0,0,0,38.2,0.2,130
2020-07-15T10:00:00Z,2020-07-15T09:00:00Z,PT60M,8.6,-81,14.3,0,0,0,0,38.5,0.4,118
2020-07-15T11:00:00Z,2020-07-15T10:00:00Z,PT60M,8.5,-74,7.3,0,0,0,0,38.4,0.5,105
2020-07-15T12:00:00Z,2020-07-15T11:00:00Z,PT60M,8.7,-66,0.5,1,12,1,2,36.3,0.7,94
2020-07-15T13:00:00Z,2020-07-15T12:00:00Z,PT60M,10.4,-58,0.0,22,487,72,94,38.0,0.7,83
2020-07-15T14:00:00Z,2020-07-15T13:00:00Z,PT60M,13.9,-48,0.0,39,730,220,259,34.8,0.7,73
2020-07-15T15:00:00Z,2020-07-15T14:00:00Z,PT60M,16.5,-36,0.0,48,824,359,407,27.5,0.6,64
2020-07-15T16:00:00Z,2020-07-15T15:00:00Z,PT60M,17.7,-22,0.0,54,869,459,513,26.0,0.5,58
2020-07-15T17:00:00Z,2020-07-15T16:00:00Z,PT60M,18.3,-5,0.0,58,879,502,560,27.2,0.8,55
2020-07-15T18:00:00Z,2020-07-15T17:00:00Z,PT60M,18.7,12,0.0,61,863,484,545,30.0,1.1,56
2020-07-15T19:00:00Z,2020-07-15T18:00:00Z,PT60M,18.7,27,0.0,58,827,413,472,33.7,1.5,60
2020-07-15T20:00:00Z,2020-07-15T19:00:00Z,PT60M,18.1,41,0.0,53,755,295,348,38.6,1.6,67
2020-07-15T21:00:00Z,2020-07-15T20:00:00Z,PT60M,16.7,52,0.0,41,608,149,190,48.8,1.9,76
2020-07-15T22:00:00Z,2020-07-15T21:00:00Z,PT60M,13.8,61,0.0,15,207,24,39,64.4,2.0,87
2020-07-15T23:00:00Z,2020-07-15T22:00:00Z,PT60M,11.2,69,3.4,0,0,0,0,76.0,1.3,98
2020-07-16T00:00:00Z,2020-07-15T23:00:00Z,PT60M,10.3,77,13.3,0,0,0,0,80.8,0.5,110
2020-07-16T01:00:00Z,2020-07-16T00:00:00Z,PT60M,10.0,84,0.5,0,0,0,0,82.2,0.2,122
2020-07-16T02:00:00Z,2020-07-16T01:00:00Z,PT60M,9.8,92,0.0,0,0,0,0,82.4,0.3,135
2020-07-16T03:00:00Z,2020-07-16T02:00:00Z,PT60M,9.4,102,5.9,0,0,0,0,82.4,0.3,147
2020-07-16T04:00:00Z,2020-07-16T03:00:00Z,PT60M,9.2,120,0.3,0,0,0,0,81.6,0.4,159
2020-07-16T05:00:00Z,2020-07-16T04:00:00Z,PT60M,8.9,161,0.4,0,0,0,0,80.6,0.3,167
2020-07-16T06:00:00Z,2020-07-16T05:00:00Z,PT60M,8.5,-142,14.4,0,0,0,0,79.9,0.3,165
2020-07-16T07:00:00Z,2020-07-16T06:00:00Z,PT60M,8.4,-112,11.6,0,0,0,0,78.5,0.5,155
2020-07-16T08:00:00Z,2020-07-16T07:00:00Z,PT60M,8.2,-98,12.8,0,0,0,0,76.6,0.5,143
2020-07-16T09:00:00Z,2020-07-16T08:00:00Z,PT60M,8.2,-89,13.4,0,0,0,0,73.8,0.8,130
2020-07-16T10:00:00Z,2020-07-16T09:00:00Z,PT60M,8.4,-81,15.9,0,0,0,0,68.3,1.0,118
2020-07-16T11:00:00Z,2020-07-16T10:00:00Z,PT60M,8.4,-74,12.8,0,0,0,0,63.4,0.9,105
2020-07-16T12:00:00Z,2020-07-16T11:00:00Z,PT60M,8.7,-67,19.8,1,2,0,2,59.6,1.3,94
2020-07-16T13:00:00Z,2020-07-16T12:00:00Z,PT60M,10.2,-58,31.2,50,66,9,59,54.9,1.2,82
2020-07-16T14:00:00Z,2020-07-16T13:00:00Z,PT60M,12.7,-48,33.2,143,78,23,166,47.8,0.8,72
2020-07-16T15:00:00Z,2020-07-16T14:00:00Z,PT60M,14.7,-36,53.5,183,0,0,183,41.7,0.7,64
2020-07-16T16:00:00Z,2020-07-16T15:00:00Z,PT60M,15.6,-22,63.4,182,0,0,182,39.6,0.9,58
2020-07-16T17:00:00Z,2020-07-16T16:00:00Z,PT60M,15.9,-5,67.5,179,0,0,179,40.9,1.2,55
2020-07-16T18:00:00Z,2020-07-16T17:00:00Z,PT60M,15.9,12,62.0,204,0,0,204,46.0,1.0,56
2020-07-16T19:00:00Z,2020-07-16T18:00:00Z,PT60M,15.9,27,59.8,186,0,0,186,49.9,0.6,60
2020-07-16T20:00:00Z,2020-07-16T19:00:00Z,PT60M,15.7,41,52.5,162,0,0,162,53.9,1.1,67
2020-07-16T21:00:00Z,2020-07-16T20:00:00Z,PT60M,14.7,52,50.7,92,0,0,92,63.8,1.1,76
2020-07-16T22:00:00Z,2020-07-16T21:00:00Z,PT60M,12.7,61,35.5,27,22,3,29,73.7,0.8,86
2020-07-16T23:00:00Z,2020-07-16T22:00:00Z,PT60M,11.4,70,78.4,0,0,0,0,78.2,0.5,98
2020-07-17T00:00:00Z,2020-07-16T23:00:00Z,PT60M,11.4,77,85.2,0,0,0,0,77.0,0.3,110
2020-07-17T01:00:00Z,2020-07-17T00:00:00Z,PT60M,11.7,84,84.4,0,0,0,0,70.9,1.0,122
2020-07-17T02:00:00Z,2020-07-17T01:00:00Z,PT60M,11.8,92,81.8,0,0,0,0,65.3,0.9,135
